"2010 Biotech VSC, L.P.",,TX,,,,,,,,1,,,,1,Unknown,,,,,TX,,,,,,,,,,,,,,fallback,2025-05-02 15:26:41,0
"2011 GUARDIAN EQUITY FUND, L.L.C.",,TX,,,,,,,,1,,,,1,Unknown,,,,,TX,,,,,,,,,,,,,,fallback,2025-05-02 15:29:15,0
"2012 MULTI-FAMILY REAL ESTATE FUND, LLC",,TX,,,,,,,,1,,,,1,Unknown,,,,,TX,,,,,,,,,,,,,,fallback,2025-05-02 15:31:50,0
2013 Mieka PA/Johnson Oil Proj I,,TX,,,,,,,,1,,,,1,Unknown,,,,,TX,,,,,,,,,,,,,,fallback,2025-05-02 15:32:25,0
"210 Capital, LLC",,TX,,,,,,,,1,,,,1,Unknown,,,,,TX,,,,,,,,,,,,,,fallback,2025-05-02 15:34:59,0
"212 Asset Fund, LLC",,TX,,,,,,,,1,,,,1,Unknown,,,,,TX,,,,,,,,,,,,,,fallback,2025-05-02 15:37:34,0
226 Records Inc,,TX,,,,,,,,1,,,,1,Unknown,,,,,TX,,,,,,,,,,,,,,fallback,2025-05-02 15:40:08,0
2225Taylor RS LLC,,TX,,,,,,,,1,,,,1,Unknown,,,,,TX,,,,,,,,,,,,,,fallback,2025-05-02 15:42:43,0
"2220 San Jacinto Partners, LP",,TX,,,,,,,,1,,,,1,Unknown,,,,,TX,,,,,,,,,,,,,,fallback,2025-05-02 15:45:18,0
2295 Pine View Lane Holding LLC,,TX,,,,,,,,1,,,,1,Unknown,,,,,TX,,,,,,,,,,,,,,fallback,2025-05-02 15:47:52,0
